Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,PK,PKatt,nPG,npxG,np:G-xG
159,Víctor Mongil,es ESP,DF,Kerala Blasters,30,1992,8.4,0,3,1,33.3,0.36,0.12,0,0,0,0,0,0,0.85,0
160,Jithin MS,in IND,"FW,MF",NorthEast Utd,24,1998,11.5,1,11,4,36.4,0.96,0.35,0.09,0.25,0.89,0,0,1,1.7,0.11
161,Ankit Mukherjee,in IND,DF,East Bengal,26,1996,7.6,0,2,0,0,0.26,0,0,,0,0,0,0,0,0
162,Devendra Murgaokar,in IND,MF,Goa,23,1998,4.1,0,3,2,66.7,0.73,0.48,0,0,0.2,0,0,0,0.85,-0.2
163,Halicharan Narzary,in IND,MF,Hyderabad FC,27,1994,13.9,3,24,6,25,1.73,0.43,0.13,0.5,0.18,0,0,3,3.4,2.82
164,Kiyan Nassiri,in IND,MF,Mohun Bagan,21,2000,3.2,0,9,4,44.4,2.83,1.26,0,0,0,0,0,0,1.7,0
165,Gyamar Nikum,in IND,MF,Mumbai City,17,2004,0.1,0,0,0,,0,0,,,0,0,0,0,0,0
166,Alberto Noguera,es ESP,MF,Mumbai City,32,1989,10,4,22,8,36.4,2.21,0.8,0.18,0.5,4.09,0,0,4,3.4,-0.09
167,Rupert Nongrum,in IND,MF,NorthEast Utd,25,1996,0.1,0,0,0,,0,0,,,0,0,0,0,0,0
168,Halen Nongtdu,in IND,DF,Mumbai City,18,2004,1,0,2,2,100,2,2,0,0,0,0,0,0,0.85,0
169,Jordan O'Doherty,au AUS,MF,East Bengal,24,1997,12.3,1,12,4,33.3,0.98,0.33,0.08,0.25,0,0,0,1,2.55,1
170,Bartholomew Ogbeche,ng NGA,"MF,FW",Hyderabad FC,37,1984,16.1,10,55,22,40,3.41,1.36,0.16,0.41,3.2,1,2,9,7.7,5.8
171,Odei Onaindia,es ESP,DF,Hyderabad FC,32,1989,19,1,7,1,14.3,0.37,0.05,0.14,1,0.33,0,0,1,0.85,0.67
172,Ishan Pandita,in IND,FW,Jamshedpur,24,1998,7,2,25,6,24,3.55,0.85,0.08,0.33,0.98,0,0,2,4.25,1.02
173,Sahil Panwar,in IND,DF,Odisha,22,1999,14.7,0,2,0,0,0.14,0,0,,0,0,0,0,0,0
174,Sumeet Passi,in IND,"MF,FW",East Bengal,27,1994,4.7,0,5,1,20,1.06,0.21,0,0,0.04,0,0,0,0.85,-0.04
175,Laldinpuia PC,in IND,"MF,DF",Jamshedpur,25,1996,3.3,0,0,0,,0,0,,,0,0,0,0,0,0
176,Sanson Pereira,in IND,DF,Goa,24,1997,7.5,0,4,0,0,0.53,0,0,,0,0,0,0,0,0
177,Jorge Pereyra Díaz,ar ARG,FW,Mumbai City,31,1990,14.3,11,35,18,51.4,2.44,1.26,0.29,0.56,1.75,1,2,10,11.1,8.25
178,Pablo Pérez,es ESP,MF,Bengaluru,28,1993,2.5,2,12,6,50,4.78,2.39,0.17,0.33,1.53,0,0,2,2.55,0.47
179,Dimitri Petratos,au AUS,FW,Mohun Bagan,29,1992,18.5,9,58,20,34.5,3.13,1.08,0.16,0.45,8.74,0,0,9,8.5,0.26
180,Romain Philippoteaux,fr FRA,"MF,FW",NorthEast Utd,34,1988,14.8,2,19,7,36.8,1.28,0.47,0.11,0.29,3.82,0,0,2,5.1,-1.82
181,Florentin Pogba,gn GUI,DF,Mohun Bagan,31,1990,0.3,0,0,0,,0,0,,,0,0,0,0,0,0
182,Nikhil Poojari,in IND,DF,Hyderabad FC,26,1995,18.1,0,3,2,66.7,0.17,0.11,0,0,0.64,0,0,0,0.85,-0.64
183,Nikhil Prabhu,in IND,DF,Odisha,21,2000,1,0,1,0,0,0.97,0,0,,0,0,0,0,0,0
184,Nikhil Prabhu,in IND,DF,Goa,21,2000,0.8,0,1,0,0,1.22,0,0,,0,0,0,0,0,0
185,Wellington Priori,br BRA,"MF,FW",Jamshedpur,32,1990,4,0,10,3,30,2.53,0.76,0,0,0,0,0,0,1.7,0
186,Mohammed Rafique,in IND,DF,Chennaiyin,29,1992,1.2,0,1,0,0,0.8,0,0,,0,0,0,0,0,0
